1	12.55
2	11.65
3	12.1
4	12.15
5	13.75
6	13.35
7	19.75
8	25.15
9	28.45
10	40.2
11	43.95
12	50.45
13	61.95
14	76.75
15	86.95
16	101.45
17	114.2
18	125.9
19	154.15
20	167.7
21	185.85
22	228.2
23	241.9
24	259.5
25	286.05
26	316.35
27	346.5
28	415.1
29	419.6
30	464.45
31	488.15
32	560.9
33	616.05
34	665
35	732.7
36	783.8
37	827.05
38	912.65
39	962.5
40	1066.3
41	1129.4
42	1221.5
43	1305.35
44	1388.35
45	1441.9
46	1571.85
47	1673.05
48	1794.5
49	1870.9
50	2001.2
51	2104.9
52	2213.45
53	2361.25
54	2483.45
55	2621.2
56	2745.8
57	2898.95
58	3047.1
59	3204.1
60	3389.25
