1	167
2	163.2
3	149.2
4	147.85
5	156.8
6	166.05
7	166.3
8	188.75
9	152.55
10	162.95
11	180.65
12	204.15
13	181
14	188.15
15	195.4
16	228.6
17	218.45
18	214.75
19	237.9
20	267.4
21	278.3
22	316.4
23	271.55
24	324.25
25	356.05
26	338.75
27	388.05
28	402.95
29	407.95
30	426.6
31	435.4
32	501
33	493.7
34	505.85
35	563.75
36	579.9
37	616.75
38	636.9
39	662.9
40	671.7
41	683.1
42	690.5
43	764.7
44	867.7
45	887.75
46	903.1
47	932.3
48	909.85
49	914.55
50	941.55
51	998
52	1116.1
53	1155
54	1282.05
55	1328.55
56	1236.35
57	1243.25
58	1305.2
59	1359.15
60	1451.1
